id,when,notes,Eleven Labs prompt
tap,any tap on the glass that is not a feed,"tiny, dry, ~60 ms","Tiny dry retro UI blip: a single 8-bit tick like a fingernail tapping aquarium glass. About 60 ms, bright mid-high pitch, no bass, no reverb, instant clean stop."
feed,surface tap / pellets drop (tank_feed),"a plink or splash; once per drop, not per pellet","Small cute water plink: a food pellet dropping onto the surface of a fish tank, stylized as a soft chiptune bloop with a tiny splash tail. About 250 ms, bright and clean, no bass, no reverb."
"light_on, light_off",double-tap light toggle,"on rises, off falls","light_on: a short two-note rising chiptune chirp, like a small lamp switching on; about 200 ms, bright, dry, no bass. light_off: the same two notes descending, a soft power-down boop; about 200 ms, gentle fade."
wipe,algae squeegee stroke engaged,"soft, loopable while the stroke moves? v1: one cue per stroke","Soft squeegee wiping wet glass, stylized as a gentle 8-bit swoosh with a faint rubbery squeak. About 300 ms, mid-high frequencies only, no bass, smooth fade out."
snip,a frond cut (veg_cut returns > 0),"one per cut, rate-limited 150 ms","Quick crisp scissor snip cutting a plant stem, stylized as a tiny retro game cut click. About 100 ms, bright, dry, no reverb, no tail."
"card_open, card_close",stats card up / dismissed,quiet,"card_open: a quiet soft UI pop, a single gentle chiptune pip rising slightly, like a small card sliding up; about 120 ms. card_close: the same pip falling slightly, quieter; about 100 ms. Both bright, dry, no bass."
"wheel_tick, confirm","setup and birth-flow letter wheel detent, YES/confirm",tick must be < 40 ms; the wheel spins fast,"wheel_tick: an extremely short mechanical detent click like a rotary dial ratchet tick; about 30 ms, dry, bright, no tail at all. confirm: a friendly two-note ascending chiptune OK chime; about 300 ms, warm but bright, clean fade."
,,,
eat,a fish takes a pellet,"2-4 variants, max one per 250 ms, pitch by stage (fry high, elder low)","Tiny cute munch: a soft round 8-bit bloop with a little downward pitch dip, like a small fish gulping a pellet. About 150 ms, bright mid-high, no bass, dry. Make 3 or 4 variants with slightly different pitch and timing."
spook,"3-tap aggression fires, fish flee","once per spook episode, not per tap","Startled quick descending zip: a fast pitch-drop chiptune whoosh like a small fish darting away in fright. About 250 ms, bright, dry, no bass."
investigate,a long hold draws a fish over (trust earned),"gentle, once per hold","Gentle curious rising purr: two soft ascending chiptune notes like a shy fish drifting closer to investigate. About 400 ms, warm, quiet, smooth fade, no bass."
bubbles,a fish reaches the column for play (GOAL_VISIT_BUBBLES arrival),"bubbly, cooldown 10 s per fish","Playful cluster of small air bubbles rising and popping at the surface, stylized as bubbly chiptune blips at varying pitches. About 500 ms, bright, light, no bass, no reverb."
beg,a hungry fish begging at the glass,"very quiet, cooldown 30 s per fish; never at night","Very quiet plaintive 8-bit chirp: two soft notes with a slight wobble, like a hungry little fish asking at the glass. About 300 ms, gentle, no bass, fades to silence."
,,,
welcome,a fresh install: the first-run setup's welcome page comes up (setup_begin when progression_setup_pending()),"the tank's very first sound; a reset (BOOT+tap, YES) lands here too, so it is also the ""new tank"" sound. Up to ~2 s. Plays once per setup flow, never on an ordinary boot","Warm hopeful retro game startup jingle for a tiny pixel-art fish tank waking up for the first time: four or five ascending chiptune notes that bloom into a shimmering bubbly finish. About 2 seconds, bright, cheerful, no bass, clean fade out."
arrival,a fry arrives / birth flow announce,"the one ""big"" sound, ~1.5 s","Joyful little fanfare for a newborn fish arriving: a short bright chiptune flourish with a rising bubbly sparkle on top. About 1.5 seconds, celebratory but small, no bass, clean fade."
milestone,a milestone or checklist line earned,short chime,"Short achievement chime: three quick ascending bright chiptune notes ending in a small sparkle. About 500 ms, clean, no bass, no reverb."
stage_up,fry -> juv -> adult -> elder,,"Level-up growth chime: a rising four-note chiptune arpeggio landing on one held bright note. About 700 ms, triumphant but tiny, no bass, clean fade."
"sleep, wake",BOOT press to drowse / wake,"wake plays after the codec is up, so ~100 ms into the boot","sleep: a soft descending three-note chiptune yawn that slows down, like a small device drifting off; about 600 ms, gentle, fades to silence. wake: the same three notes ascending, a bright fresh good-morning boop; about 500 ms, clean."
error,"save failed, reset prompt",,"Short flat error bonk: a single dull low-mid retro buzz followed by a quick double blip. About 300 ms, dry, nothing below 600 Hz."
